id,created_at,text,source
783660227530862592,2016-10-05 13:28:52,The constant interruptions last night by Tim Kaine should not have been allowed. Mike Pence won big!,Twitter for Android
783495937708527616,2016-10-05 02:36:02,Mike Pence won big. We should all be proud of Mike!,Twitter for Android
783494972213383168,2016-10-05 02:32:12,RT @mike_pence: History teaches us that weakness arouses evil. America needs to be strong on the world stage. #VPDebate https://t.co/FJ59o5…,Twitter for iPhone
783494760824614912,2016-10-05 02:31:22,RT @TeamTrump: RT if you agree - @HillaryClinton &amp; @timkaine are WRONG for America! #VPDebate #MAGA https://t.co/2MZfFzCo6c,Twitter for iPhone
783494665232191488,2016-10-05 02:30:59,RT @TeamTrump: .@timkaine's Abortion Flip-Flops: From Valuing The Sanctity of Life --&gt; Pro-Abortion Demagogue #VPdebate https://t.co/aK4061…,Twitter for iPhone
783494014276218884,2016-10-05 02:28:24,"""@AnyoneTennis: @timkaine Cannot believe how often the moderator interrupts #Pence vs the other guy...so obvious @FoxNews""  So true!",Twitter for Android
783493739486416896,2016-10-05 02:27:18,"""@Gsimmons03Ginny: @realDonaldTrump ..Kaine is awful, Trump and Pence are the ticket..no more lies, we are ready to see America Great Again!",Twitter for Android
783493582803972096,2016-10-05 02:26:41,"Clinton’s Top Aides Were Mired In Conflict Of Interest At The State Department: https://t.co/wWfdaECtVu
#VPDebate #BigLeagueTruth",Twitter for iPhone
783492660128419840,2016-10-05 02:23:01,"""@FLifeforce: @_CFJ_ @vine That is a reason to NOT Vote for Hillary Clinton. Vote for Liberty! Vote for @realDonaldTrump""",Twitter for Android
783492506319069184,2016-10-05 02:22:24,".@HillaryClinton’s Careless Use Of A Secret Server Put National Security At Risk: https://t.co/OiAEMnrGcy #VPDebate
#BigLeagueTruth",Twitter for iPhone
